Enzyme 	KO 	D 	C 	B 	A 	
ZK973.11 hypothetical protein	K09585 thioredoxin domain-containing protein 10 [EC:5.3.4.1] 	5.3.4.1  protein disulfide-isomerase 	5.3.4  Transposing S-S bonds 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
R11A8.5 hypothetical protein	K05309 microsomal prostaglandin-E synthase 2 [EC:5.3.99.3] 	5.3.99.3  prostaglandin-E synthase 	5.3.99  Other intramolecular oxidoreductases 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
ZC395.10 hypothetical protein	K15730 cytosolic prostaglandin-E synthase [EC:5.3.99.3] 	5.3.99.3  prostaglandin-E synthase 	5.3.99  Other intramolecular oxidoreductases 	5.3  Intramolecular oxidoreductases 	<b>5. Isomerases</b> 	
F57B10.3 hypothetical protein	K15633 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.1] 	5.4.2.1  phosphoglycerate mutase 	5.4.2  Phosphotransferases (phosphomutases) 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
R05F9.6 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	5.4.2.2  phosphoglucomutase 	5.4.2  Phosphotransferases (phosphomutases) 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
Y43F4B.5 hypothetical protein	K01835 phosphoglucomutase [EC:5.4.2.2] 	5.4.2.2  phosphoglucomutase 	5.4.2  Phosphotransferases (phosphomutases) 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
F21D5.1 hypothetical protein	K01836 phosphoacetylglucosamine mutase [EC:5.4.2.3] 	5.4.2.3  phosphoacetylglucosamine mutase 	5.4.2  Phosphotransferases (phosphomutases) 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
F52B11.2 hypothetical protein	K01840 phosphomannomutase [EC:5.4.2.8] 	5.4.2.8  phosphomannomutase 	5.4.2  Phosphotransferases (phosphomutases) 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
ZK1058.1 mmcm-1; MethylMalonylCoA Mutase homolog family member (mmcm-1)	K01847 methylmalonyl-CoA mutase [EC:5.4.99.2] 	5.4.99.2  methylmalonyl-CoA mutase 	5.4.99  Transferring other groups 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
W06H3.2 pus-1; PseudoUridine Synthase family member (pus-1)	K06173 tRNA pseudouridine38-40 synthase [EC:5.4.99.12] 	5.4.99.12  tRNA pseudouridine38-40 synthase 	5.4.99  Transferring other groups 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
B0024.11 hypothetical protein	K06176 tRNA pseudouridine13 synthase [EC:5.4.99.27] 	5.4.99.27  tRNA pseudouridine13 synthase 	5.4.99  Transferring other groups 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
E02H1.3 tag-124; Temporarily Assigned Gene name family member (tag-124)	K01855 tRNA pseudouridine38/39 synthase [EC:5.4.99.45] 	5.4.99.45  tRNA pseudouridine38/39 synthase 	5.4.99  Transferring other groups 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
Y48C3A.20 hypothetical protein	K07583 tRNA pseudouridine synthase 10 [EC:5.4.99.-] 	5.4.99.- 	5.4.99  Transferring other groups 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
K01G5.5 hypothetical protein	K11131 H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-] 	5.4.99.- 	5.4.99  Transferring other groups 	5.4  Intramolecular transferases 	<b>5. Isomerases</b> 	
VF13D12L.1 hypothetical protein	K01858 myo-inositol-1-phosphate synthase [EC:5.5.1.4] 	5.5.1.4  inositol-3-phosphate synthase 	5.5.1  Intramolecular lyases (only sub-subclass identified to date) 	5.5  Intramolecular lyases 	<b>5. Isomerases</b> 	
M01E5.5 top-1; TOPoisomerase family member (top-1)	K03163 DNA topoisomerase I [EC:5.99.1.2] 	5.99.1.2  DNA topoisomerase 	5.99.1  Sole sub-subclass for isomerases that do not belong in the other subclasses 	5.99  Other isomerases 	<b>5. Isomerases</b> 	
Y48C3A.14 hypothetical protein	K03165 DNA topoisomerase III [EC:5.99.1.2] 	5.99.1.2  DNA topoisomerase 	5.99.1  Sole sub-subclass for isomerases that do not belong in the other subclasses 	5.99  Other isomerases 	<b>5. Isomerases</b> 	
Y56A3A.27 top-3; TOPoisomerase family member (top-3)	K03165 DNA topoisomerase III [EC:5.99.1.2] 	5.99.1.2  DNA topoisomerase 	5.99.1  Sole sub-subclass for isomerases that do not belong in the other subclasses 	5.99  Other isomerases 	<b>5. Isomerases</b> 	
R05D3.1 hypothetical protein	K03164 DNA topoisomerase II [EC:5.99.1.3] 	5.99.1.3  DNA topoisomerase (ATP-hydrolysing) 	5.99.1  Sole sub-subclass for isomerases that do not belong in the other subclasses 	5.99  Other isomerases 	<b>5. Isomerases</b> 	
ZK1127.7 cin-4; Chromosome INstability family member (cin-4)	K03164 DNA topoisomerase II [EC:5.99.1.3] 	5.99.1.3  DNA topoisomerase (ATP-hydrolysing) 	5.99.1  Sole sub-subclass for isomerases that do not belong in the other subclasses 	5.99  Other isomerases 	<b>5. Isomerases</b> 	
K12D12.1 top-2; TOPoisomerase family member (top-2)	K03164 DNA topoisomerase II [EC:5.99.1.3] 	5.99.1.3  DNA topoisomerase (ATP-hydrolysing) 	5.99.1  Sole sub-subclass for isomerases that do not belong in the other subclasses 	5.99  Other isomerases 	<b>5. Isomerases</b> 	
Y46H3C.4 hypothetical protein	K03164 DNA topoisomerase II [EC:5.99.1.3] 	5.99.1.3  DNA topoisomerase (ATP-hydrolysing) 	5.99.1  Sole sub-subclass for isomerases that do not belong in the other subclasses 	5.99  Other isomerases 	<b>5. Isomerases</b> 	
Y105E8A.19 hypothetical protein	K01866 tyrosyl-tRNA synthetase [EC:6.1.1.1] 	6.1.1.1  tyrosine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
Y80D3A.1 wrs-1; tryptophanyl (W) tRNA Synthetase family member (wrs-1)	K01867 tryptophanyl-tRNA synthetase [EC:6.1.1.2] 	6.1.1.2  tryptophan---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
C47D12.6 trs-1; Threonyl tRNA Synthetase family member (trs-1)	K01868 threonyl-tRNA synthetase [EC:6.1.1.3] 	6.1.1.3  threonine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
R74.1 lrs-1; Leucyl tRNA Synthetase family member (lrs-1)	K01869 leucyl-tRNA synthetase [EC:6.1.1.4] 	6.1.1.4  leucine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
ZK524.3 lrs-2; Leucyl tRNA Synthetase family member (lrs-2)	K01869 leucyl-tRNA synthetase [EC:6.1.1.4] 	6.1.1.4  leucine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
R11A8.6 irs-1; Isoleucyl tRNA Synthetase family member (irs-1)	K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5] 	6.1.1.5  isoleucine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
C25A1.7 irs-2; Isoleucyl tRNA Synthetase family member (irs-2)	K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5] 	6.1.1.5  isoleucine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
T02G5.9 krs-1; lysyl (K) tRNA Synthetase family member (krs-1)	K04567 lysyl-tRNA synthetase, class II [EC:6.1.1.6] 	6.1.1.6  lysine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
W02B12.6 ars-1; Alanyl tRNA Synthetase family member (ars-1)	K01872 alanyl-tRNA synthetase [EC:6.1.1.7] 	6.1.1.7  alanine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
F28H1.3 ars-2; Alanyl tRNA Synthetase family member (ars-2)	K01872 alanyl-tRNA synthetase [EC:6.1.1.7] 	6.1.1.7  alanine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
ZC513.4 vrs-1; Valyl tRNA Synthetase family member (vrs-1)	K01873 valyl-tRNA synthetase [EC:6.1.1.9] 	6.1.1.9  valine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
Y87G2A.5 vrs-2; Valyl tRNA Synthetase family member (vrs-2)	K01873 valyl-tRNA synthetase [EC:6.1.1.9] 	6.1.1.9  valine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
F58B3.5 mrs-1; Methionyl tRNA Synthetase family member (mrs-1)	K01874 methionyl-tRNA synthetase [EC:6.1.1.10] 	6.1.1.10  methionine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
Y105E8A.20 hypothetical protein	K01874 methionyl-tRNA synthetase [EC:6.1.1.10] 	6.1.1.10  methionine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
C47E12.1 srs-2; Seryl tRNA Synthetase family member (srs-2)	K01875 seryl-tRNA synthetase [EC:6.1.1.11] 	6.1.1.11  serine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
W03B1.4 srs-1; Seryl tRNA Synthetase family member (srs-1)	K01875 seryl-tRNA synthetase [EC:6.1.1.11] 	6.1.1.11  serine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
B0464.1 drs-1; aspartyl(D) tRNA Synthetase family member (drs-1)	K01876 aspartyl-tRNA synthetase [EC:6.1.1.12] 	6.1.1.12  aspartate---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
F10C2.6 drs-2; aspartyl(D) tRNA Synthetase family member (drs-2)	K01876 aspartyl-tRNA synthetase [EC:6.1.1.12] 	6.1.1.12  aspartate---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
T10F2.1 grs-1; Glycyl tRNA Synthetase family member (grs-1)	K01880 glycyl-tRNA synthetase [EC:6.1.1.14] 	6.1.1.14  glycine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
T27F6.5 prs-2; Prolyl tRNA Synthetase family member (prs-2)	K01881 prolyl-tRNA synthetase [EC:6.1.1.15] 	6.1.1.15  proline---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
T20H4.3 prs-1; Prolyl tRNA Synthetase family member (prs-1)	K01881 prolyl-tRNA synthetase [EC:6.1.1.15] 	6.1.1.15  proline---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
Y23H5A.7 crs-1; Cysteinyl tRNA Synthetase family member (crs-1)	K01883 cysteinyl-tRNA synthetase [EC:6.1.1.16] 	6.1.1.16  cysteine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
T07A9.2 ers-3; glutamyl(E)/glutaminyl(Q) tRNA Synthetase family member (ers-3)	K01885 glutamyl-tRNA synthetase [EC:6.1.1.17] 	6.1.1.17  glutamate---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
ZC434.5 ers-2; glutamyl(E)/glutaminyl(Q) tRNA Synthetase family member (ers-2)	K01885 glutamyl-tRNA synthetase [EC:6.1.1.17] 	6.1.1.17  glutamate---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
Y41E3.4 ers-1; glutamyl(E)/glutaminyl(Q) tRNA Synthetase family member (ers-1)	K01886 glutaminyl-tRNA synthetase [EC:6.1.1.18] 	6.1.1.18  glutamine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
C29H12.1 rrt-2; aRginyl aa-tRNA syntheTase family member (rrt-2)	K01887 arginyl-tRNA synthetase [EC:6.1.1.19] 	6.1.1.19  arginine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
F26F4.10 rrt-1; aRginyl aa-tRNA syntheTase family member (rrt-1)	K01887 arginyl-tRNA synthetase [EC:6.1.1.19] 	6.1.1.19  arginine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
Y60A3A.13 frs-3; phenylalanyl (F) tRNA Synthetase family member (frs-3)	K01889 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20] 	6.1.1.20  phenylalanine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
T08B2.9 frs-1; phenylalanyl (F) tRNA Synthetase family member (frs-1)	K01889 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20] 	6.1.1.20  phenylalanine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
F22B5.9 frs-2; phenylalanyl (F) tRNA Synthetase family member (frs-2)	K01890 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20] 	6.1.1.20  phenylalanine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
T11G6.1 hrs-1; Histidyl tRNA Synthetase family member (hrs-1)	K01892 histidyl-tRNA synthetase [EC:6.1.1.21] 	6.1.1.21  histidine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
F22D6.3 nrs-1; asparagiNyl tRNA Synthetase family member (nrs-1)	K01893 asparaginyl-tRNA synthetase [EC:6.1.1.22] 	6.1.1.22  asparagine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
Y66D12A.23 hypothetical protein	K01893 asparaginyl-tRNA synthetase [EC:6.1.1.22] 	6.1.1.22  asparagine---tRNA ligase 	6.1.1  Ligases forming aminoacyl-tRNA and related compounds 	6.1  Forming carbon-oxygen bonds 	<b>6. Ligases</b> 	
C36A4.9 hypothetical protein	K01895 acetyl-CoA synthetase [EC:6.2.1.1] 	6.2.1.1  acetate---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
C46F4.2 acs-17; fatty Acid CoA Synthetase family member (acs-17)	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
R07C3.4 hypothetical protein	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
R09E10.3 hypothetical protein	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
R09E10.4 hypothetical protein	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
T08B1.6 hypothetical protein	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
Y76A2B.3 acs-14; fatty Acid CoA Synthetase family member (acs-14)	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
F28F8.2 acs-2; fatty Acid CoA Synthetase family member (acs-2)	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
F37C12.7 acs-16; fatty Acid CoA Synthetase family member (acs-16)	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
F47G6.2 hypothetical protein	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
Y65B4BL.5 acs-13; fatty Acid CoA Synthetase family member (acs-13)	K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3] 	6.2.1.3  long-chain-fatty-acid---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
C05G5.4 hypothetical protein	K01899 succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5] 	6.2.1.4  succinate---CoA ligase (GDP-forming) 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
F23H11.3 hypothetical protein	K01899 succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5] 	6.2.1.4  succinate---CoA ligase (GDP-forming) 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
C50F7.4 hypothetical protein	K01900 succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5] 	6.2.1.4  succinate---CoA ligase (GDP-forming) 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
F47B10.1 hypothetical protein	K01900 succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5] 	6.2.1.4  succinate---CoA ligase (GDP-forming) 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
C05G5.4 hypothetical protein	K01899 succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5] 	6.2.1.5  succinate---CoA ligase (ADP-forming) 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
F23H11.3 hypothetical protein	K01899 succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5] 	6.2.1.5  succinate---CoA ligase (ADP-forming) 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
C50F7.4 hypothetical protein	K01900 succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5] 	6.2.1.5  succinate---CoA ligase (ADP-forming) 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
F47B10.1 hypothetical protein	K01900 succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5] 	6.2.1.5  succinate---CoA ligase (ADP-forming) 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
ZK1127.2 hypothetical protein	K01904 4-coumarate--CoA ligase [EC:6.2.1.12] 	6.2.1.12  4-coumarate---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
K03A1.5 sur-5; SUppressor of activated let-60 Ras family member (sur-5)	K01907 acetoacetyl-CoA synthetase [EC:6.2.1.16] 	6.2.1.16  acetoacetate---CoA ligase 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
D1009.1 hypothetical protein	K08745 solute carrier family 27 (fatty acid transporter), member 1/4 [EC:6.2.1.-] 	6.2.1.- 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
F28D1.9 hypothetical protein	K08745 solute carrier family 27 (fatty acid transporter), member 1/4 [EC:6.2.1.-] 	6.2.1.- 	6.2.1  Acid-thiol ligases 	6.2  Forming carbon-sulfur bonds 	<b>6. Ligases</b> 	
C28D4.3 gln-6; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-6)	K01915 glutamine synthetase [EC:6.3.1.2] 	6.3.1.2  glutamate---ammonia ligase 	6.3.1  Acid-D-ammonia (or amine) ligases (amide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
F26D10.10 gln-5; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-5)	K01915 glutamine synthetase [EC:6.3.1.2] 	6.3.1.2  glutamate---ammonia ligase 	6.3.1  Acid-D-ammonia (or amine) ligases (amide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
K03H1.1 gln-2; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-2)	K01915 glutamine synthetase [EC:6.3.1.2] 	6.3.1.2  glutamate---ammonia ligase 	6.3.1  Acid-D-ammonia (or amine) ligases (amide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
Y105C5B.28 gln-3; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-3)	K01915 glutamine synthetase [EC:6.3.1.2] 	6.3.1.2  glutamate---ammonia ligase 	6.3.1  Acid-D-ammonia (or amine) ligases (amide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
C45B2.5 gln-1; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-1)	K01915 glutamine synthetase [EC:6.3.1.2] 	6.3.1.2  glutamate---ammonia ligase 	6.3.1  Acid-D-ammonia (or amine) ligases (amide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
F37B12.2 gcs-1; gamma GlutamylCysteine Synthetase family member (gcs-1)	K11204 glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2] 	6.3.2.2  glutamate---cysteine ligase 	6.3.2  Acid-D-amino-acid ligases (peptide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
M176.2 hypothetical protein	K01920 glutathione synthase [EC:6.3.2.3] 	6.3.2.3  glutathione synthase 	6.3.2  Acid-D-amino-acid ligases (peptide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
Y71H2AM.6 hypothetical protein	K01922 phosphopantothenate-cysteine ligase [EC:6.3.2.5] 	6.3.2.5  phosphopantothenate---cysteine ligase 	6.3.2  Acid-D-amino-acid ligases (peptide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
B0286.3 hypothetical protein	K01587 phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6] 	6.3.2.6  phosphoribosylaminoimidazolesuccinocarboxamide synthase 	6.3.2  Acid-D-amino-acid ligases (peptide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
F25B5.6 hypothetical protein	K01930 folylpolyglutamate synthase [EC:6.3.2.17] 	6.3.2.17  tetrahydrofolate synthase 	6.3.2  Acid-D-amino-acid ligases (peptide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
F10D7.5 hypothetical protein	K01931 protein neuralized [EC:6.3.2.19] 	6.3.2.19  ubiquitin---protein ligase 	6.3.2  Acid-D-amino-acid ligases (peptide synthases) 	6.3  Forming carbon-nitrogen bonds 	<b>6. Ligases</b> 	
