GENES 	KO 	C 	B 	A 	
C23F12.2 flnb-1; FiLamiN (actin binding protein) Beta family member (flnb-1)	K04437 filamin 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y41D4B.13 ced-2; CEll Death abnormality family member (ced-2)	K04438 proto-oncogene C-crk 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F53H8.2 arr-1; ARRestin family member (arr-1)	K04439 beta-arrestin 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
B0478.1 jnk-1; Jun N-terminal Kinase family member (jnk-1)	K04440 c-Jun N-terminal kinase [EC:2.7.11.24] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F42G8.3 pmk-2; P38 Map Kinase family member (pmk-2)	K04441 p38 MAP kinase [EC:2.7.11.24] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
B0218.3 pmk-1; P38 Map Kinase family member (pmk-1)	K04441 p38 MAP kinase [EC:2.7.11.24] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C54G4.1 rskn-2; RSK-pNinety (RSK-p90 kinase) homolog family member (rskn-2)	K04445 mitogen-,stress activated protein kinases [EC:2.7.11.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F46G10.6 mxl-3; MaX-Like family member (mxl-3)	K04453 Max protein 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F28H6.1 akt-2; AKT kinase family member (akt-2)	K04456 RAC serine/threonine-protein kinase [EC:2.7.11.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C12D8.10 akt-1; AKT kinase family member (akt-1)	K04456 RAC serine/threonine-protein kinase [EC:2.7.11.1] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C04F12.8 hypothetical protein	K04459 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F08B1.1 vhp-1; VH1 dual-specificity phosphatase family member (vhp-1)	K04459 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y39B6A.2 pph-5; Protein PHosphatase family member (pph-5)	K04460 protein phosphatase 5 [EC:3.1.3.16] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F25D1.1 tag-93; Temporarily Assigned Gene name family member (tag-93)	K04461 protein phosphatase 1B (formerly 2C) [EC:3.1.3.16] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F26D10.3 hsp-1; Heat Shock Protein family member (hsp-1)	K03283 heat shock 70kDa protein 1/8 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F44E5.4 hypothetical protein	K03283 heat shock 70kDa protein 1/8 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C12C8.1 hsp-70; Heat Shock Protein family member (hsp-70)	K03283 heat shock 70kDa protein 1/8 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F44E5.5 hypothetical protein	K03283 heat shock 70kDa protein 1/8 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F11F1.1 hypothetical protein	K03283 heat shock 70kDa protein 1/8 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
W06F12.1 lit-1; Loss of InTestine family member (lit-1)	K04468 nemo like kinase [EC:2.7.11.24] 	04010 MAPK signaling pathway [PATH:cel04010] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
ZK1067.1 let-23; LEThal family member (let-23)	K04361 epidermal growth factor receptor [EC:2.7.10.1] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T01E8.3 plc-3; PhosphoLipase C family member (plc-3)	K01116 phosphatidylinositol phospholipase C, gamma-1 [EC:3.1.4.11] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
K11E8.1 unc-43; UNCoordinated family member (unc-43)	K04515 calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
E01H11.1 pkc-2; Protein Kinase C family member (pkc-2)	K02677 classical protein kinase C [EC:2.7.11.13] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
M02A10.3 sli-1; Suppressor of LIneage defect family member (sli-1)	K04707 E3 ubiquitin-protein ligase CBL [EC:6.3.2.19] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C30F8.4 kin-32; protein KINase family member (kin-32)	K05725 PTK2 protein tyrosine kinase 2 [EC:2.7.10.2] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y41D4B.13 ced-2; CEll Death abnormality family member (ced-2)	K04438 proto-oncogene C-crk 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
M79.1 abl-1; related to oncogene ABL family member (abl-1)	K06619 proto-oncogene tyrosine-protein kinase ABL1 [EC:2.7.10.2] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
ZK470.5 nck-1; NCK (Non-Catalytic region of tyrosine Kinase) adaptor protein family member (nck-1)	K07365 NCK adaptor protein 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C09B8.7 pak-1; P21-Activated Kinase family member (pak-1)	K04409 p21-activated kinase 1 [EC:2.7.11.1] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F42G10.2 mkk-4; MKK (MAP Kinase Kinase) homolog family member (mkk-4)	K04430 mitogen-activated protein kinase kinase 4 [EC:2.7.12.2] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
K08A8.1 mek-1; MAP kinase kinase or Erk Kinase family member (mek-1)	K04431 mitogen-activated protein kinase kinase 7 [EC:2.7.12.2] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
B0478.1 jnk-1; Jun N-terminal Kinase family member (jnk-1)	K04440 c-Jun N-terminal kinase [EC:2.7.11.24] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C37F5.1 lin-1; abnormal cell LINeage family member (lin-1)	K04375 ETS domain-containing protein Elk-1 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C14F5.5 sem-5; SEx Muscle abnormal family member (sem-5)	K04364 growth factor receptor-binding protein 2 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T28F12.3 sos-1; Drosophila SOS homolog family member (sos-1)	K03099 son of sevenless 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
ZK792.6 let-60; LEThal family member (let-60)	K07827 GTPase KRas 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y73B6A.5 lin-45; abnormal cell LINeage family member (lin-45)	K04365 B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y54E10BL.6 mek-2; MAP kinase kinase or Erk Kinase family member (mek-2)	K04368 mitogen-activated protein kinase kinase 1 [EC:2.7.12.2] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F43C1.2 mpk-1; MAP Kinase family member (mpk-1)	K04371 extracellular signal-regulated kinase 1/2 [EC:2.7.11.24] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y51H4A.17 sta-1; STAT transcription factor family member (sta-1)	K11224 signal transducer and activator of transcription 5B 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
B0334.8 age-1; AGEing alteration family member (age-1)	K00922 phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y110A7A.10 aap-1; phosphoinositide kinase AdAPter subunit family member (aap-1)	K02649 phosphoinositide-3-kinase, regulatory subunit 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F28H6.1 akt-2; AKT kinase family member (akt-2)	K04456 RAC serine/threonine-protein kinase [EC:2.7.11.1] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C12D8.10 akt-1; AKT kinase family member (akt-1)	K04456 RAC serine/threonine-protein kinase [EC:2.7.11.1] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
B0261.2 let-363; LEThal family member (let-363)	K07203 FKBP12-rapamycin complex-associated protein 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y47D3A.16 rsks-1; RSK-pSeventy (RSK-p70 kinase) homolog family member (rsks-1)	K04688 p70 ribosomal S6 kinase [EC:2.7.11.1] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
R04A9.7 hypothetical protein	K04688 p70 ribosomal S6 kinase [EC:2.7.11.1] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y18D10A.5 gsk-3; Glycogen Synthase Kinase family member (gsk-3)	K03083 glycogen synthase kinase 3 beta [EC:2.7.11.26] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C44H4.6 hypothetical protein	K03083 glycogen synthase kinase 3 beta [EC:2.7.11.26] 	04012 ErbB signaling pathway [PATH:cel04012] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T07H6.2 mom-1; More Of MS family member (mom-1)	K00181 porcupine 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F38E1.7 mom-2; More Of MS family member (mom-2)	K00408 wingless-type MMTV integration site family, member 4 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T23D8.1 mom-5; More Of MS family member (mom-5)	K02432 frizzled 1/7 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y34D9B.1 mig-1; abnormal cell MIGration family member (mig-1)	K02354 frizzled 4 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F27E11.3 cfz-2; Caenorhabditis FriZzled homolog family member (cfz-2)	K02375 frizzled 5/8 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y71F9B.5 lin-17; abnormal cell LINeage family member (lin-17)	K02842 frizzled 9/10 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C34F11.9 dsh-1; DiSHevelled related family member (dsh-1)	K02353 segment polarity protein dishevelled 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
B0205.7 kin-3; protein KINase family member (kin-3)	K03097 casein kinase II subunit alpha [EC:2.7.11.1] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
T01G9.6 kin-10; protein KINase family member (kin-10)	K03115 casein kinase II subunit beta 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y18D10A.5 gsk-3; Glycogen Synthase Kinase family member (gsk-3)	K03083 glycogen synthase kinase 3 beta [EC:2.7.11.26] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C44H4.6 hypothetical protein	K03083 glycogen synthase kinase 3 beta [EC:2.7.11.26] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C54D1.6 bar-1; Beta-catenin/Armadillo Related family member (bar-1)	K02105 catenin beta 1 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
B0336.1 wrm-1; Worm aRMadillo family member (wrm-1)	K02105 catenin beta 1 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
K05C4.6 hmp-2; HuMPback (dorsal lumps) family member (hmp-2)	K02105 catenin beta 1 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F48E8.5 paa-1; Phosphatase 2A regulatory A subunit family member (paa-1)	K03456 protein phosphatase 2 (formerly 2A), regulatory subunit A 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C13G3.3 pptr-2; Protein Phosphatase 2A (Two A) Regulatory subunit family member (pptr-2)	K11584 protein phosphatase 2 (formerly 2A), regulatory subunit B' 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
W08G11.4 pptr-1; Protein Phosphatase 2A (Two A) Regulatory subunit family member (pptr-1)	K11584 protein phosphatase 2 (formerly 2A), regulatory subunit B' 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F38H4.9 let-92; LEThal family member (let-92)	K04382 protein phosphatase 2 (formerly 2A), catalytic subunit [EC:3.1.3.16] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C03C10.1 kin-19; protein KINase family member (kin-19)	K08957 casein kinase 1, alpha [EC:2.7.11.1] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F49E10.5 ctbp-1; CTBP (CtBP) transcriptional co-repressor homolog family member (ctbp-1)	K04496 C-terminal binding protein 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
R10E11.1 cbp-1; CBP/p300 homolog family member (cbp-1)	K04498 E1A/CREB-binding protein [EC:2.3.1.48] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
C27H6.2 ruvb-1; RUVB (recombination protein) homolog family member (ruvb-1)	K04499 RuvB-like protein 1 (pontin 52) 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
R12B2.1 sma-4; SMAll family member (sma-4)	K04501 mothers against decapentaplegic homolog 4 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
W06F12.1 lit-1; Loss of InTestine family member (lit-1)	K04468 nemo like kinase [EC:2.7.11.24] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y38F1A.5 cyd-1; CYclin D family member (cyd-1)	K10151 cyclin D2 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F35H12.3 sel-12; Suppressor/Enhancer of Lin-12 family member (sel-12)	K04505 presenilin 1 [EC:3.4.23.-] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
F47F2.1 hypothetical protein	K04345 protein kinase A [EC:2.7.11.11] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
ZK909.2 kin-1; protein KINase family member (kin-1)	K04345 protein kinase A [EC:2.7.11.11] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
Y37E11AR.2 siah-1; SInA (Drosophila Seven In Absentia) Homolog family member (siah-1)	K04506 E3 ubiquitin-protein ligase SIAH1 [EC:6.3.2.19] 	04310 Wnt signaling pathway [PATH:cel04310] 	<b>Signal Transduction</b> 	<b>Environmental Information Processing</b> 	
